conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
790,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,0,0,0,0,1,0,10000,3901014
875,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,0,1,10000,3901015
4732,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,0,10000,3901039
4760,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,1,0,0,0,1,10000,3901039
4702,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,0,0,0,0,10000,3901039
5466,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,0,0,0,0,1,10000,3901047
8648,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,1,0,0,0,10000,3901079
8758,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,1,10000,3901080
8714,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,0,1,10000,3901080
8715,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,0,0,1,0,10000,3901080
9576,0,15.3257546954685,31.5552897276702,41.1401774794967,9,1,0,1,1,0,0,0,1,10000,3901091
9629,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,0,0,0,0,10000,3901091
9442,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,1,0,0,0,1,10000,3901091
9562,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,0,0,0,1,10000,3901091
9586,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,0,1,0,1,0,10000,3901091
13835,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,1,0,0,0,1,1,0,10000,3901111
13838,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,0,1,10000,3901111
14672,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,0,1,0,10000,3901118
16148,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,0,1,10000,3901124
16157,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,1,0,10000,3901124
16167,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,1,0,10000,3901124
16171,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,0,1,0,0,0,10000,3901124
16162,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,0,0,0,0,0,10000,3901124
16178,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,1,0,10000,3901124
